edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
3484,19.251,22.065,25.583,30.100,36.022,44.046,55.333,19.659,22.282,25.540,29.683,35.074,42.322,52.452,116.967,123.235,129.504,135.772,142.041,148.309,154.578,116.757,122.964,129.171,135.379,141.586,147.794,154.001,12.241,13.308,14.640,16.362,18.693,22.071,27.528,12.669,13.612,14.774,16.248,18.201,20.951,25.217,NULL,23.824,23.911,40.034,38.698,126.369,126.068,145.175,144.690,13.974,14.193,20.382,19.576
3485,19.257,22.072,25.591,30.110,36.034,44.062,55.354,19.663,22.287,25.547,29.691,35.085,42.337,52.474,116.981,123.250,129.520,135.789,142.058,148.327,154.597,116.768,122.976,129.184,135.393,141.601,147.810,154.018,12.242,13.309,14.641,16.364,18.695,22.074,27.533,12.670,13.613,14.775,16.249,18.202,20.954,25.222,NULL,23.831,23.917,40.048,38.711,126.385,126.081,145.193,144.705,13.975,14.194,20.384,19.578
3486,19.263,22.078,25.599,30.120,36.046,44.078,55.376,19.667,22.293,25.553,29.699,35.095,42.353,52.496,116.995,123.265,129.535,135.805,142.076,148.346,154.616,116.779,122.989,129.198,135.407,141.616,147.825,154.034,12.243,13.310,14.643,16.365,18.696,22.077,27.538,12.670,13.614,14.776,16.250,18.204,20.956,25.226,NULL,23.839,23.923,40.062,38.724,126.400,126.093,145.210,144.721,13.976,14.195,20.387,19.580
3487,19.269,22.085,25.607,30.130,36.058,44.094,55.397,19.671,22.298,25.560,29.707,35.106,42.368,52.518,117.009,123.280,129.551,135.822,142.093,148.364,154.635,116.790,123.001,129.211,135.421,141.631,147.841,154.051,12.244,13.311,14.644,16.367,18.698,22.080,27.543,12.671,13.615,14.777,16.251,18.205,20.959,25.231,NULL,23.846,23.929,40.076,38.737,126.416,126.106,145.228,144.736,13.977,14.196,20.389,19.582
3488,19.275,22.092,25.615,30.140,36.071,44.110,55.419,19.675,22.303,25.566,29.715,35.117,42.383,52.541,117.024,123.295,129.567,135.838,142.110,148.382,154.654,116.801,123.013,129.224,135.435,141.646,147.857,154.068,12.244,13.312,14.645,16.368,18.700,22.083,27.548,12.671,13.615,14.778,16.252,18.207,20.961,25.236,NULL,23.854,23.935,40.090,38.750,126.431,126.118,145.246,144.752,13.978,14.196,20.391,19.584
3489,19.280,22.099,25.623,30.150,36.083,44.126,55.441,19.680,22.308,25.573,29.723,35.128,42.398,52.563,117.038,123.310,129.583,135.855,142.128,148.400,154.672,116.812,123.025,129.237,135.449,141.661,147.873,154.085,12.245,13.313,14.646,16.369,18.702,22.086,27.553,12.672,13.616,14.778,16.253,18.208,20.964,25.241,NULL,23.861,23.940,40.105,38.763,126.446,126.131,145.263,144.767,13.979,14.197,20.394,19.586
3490,19.286,22.105,25.631,30.160,36.095,44.143,55.462,19.684,22.313,25.579,29.731,35.139,42.413,52.585,117.052,123.325,129.598,135.871,142.145,148.418,154.691,116.824,123.037,129.250,135.463,141.676,147.889,154.102,12.246,13.313,14.647,16.371,18.704,22.088,27.558,12.673,13.617,14.779,16.254,18.210,20.966,25.246,NULL,23.868,23.946,40.119,38.776,126.462,126.144,145.281,144.782,13.980,14.198,20.396,19.588
3491,19.292,22.112,25.639,30.170,36.107,44.159,55.484,19.688,22.318,25.585,29.739,35.150,42.428,52.607,117.066,123.340,129.614,135.888,142.162,148.436,154.710,116.835,123.049,129.263,135.477,141.691,147.905,154.119,12.247,13.314,14.648,16.372,18.706,22.091,27.563,12.673,13.617,14.780,16.255,18.212,20.969,25.251,NULL,23.876,23.952,40.133,38.789,126.477,126.156,145.299,144.798,13.981,14.199,20.399,19.590
3492,19.298,22.119,25.647,30.180,36.120,44.175,55.505,19.692,22.324,25.592,29.747,35.161,42.444,52.630,117.081,123.355,129.630,135.904,142.179,148.454,154.729,116.846,123.061,129.276,135.491,141.706,147.921,154.135,12.247,13.315,14.649,16.374,18.708,22.094,27.568,12.674,13.618,14.781,16.256,18.213,20.971,25.255,NULL,23.883,23.958,40.147,38.802,126.493,126.169,145.316,144.813,13.982,14.199,20.401,19.592
3493,19.304,22.126,25.655,30.190,36.132,44.191,55.527,19.696,22.329,25.598,29.755,35.172,42.459,52.652,117.095,123.370,129.646,135.921,142.197,148.472,154.748,116.857,123.073,129.289,135.505,141.721,147.937,154.152,12.248,13.316,14.650,16.375,18.710,22.097,27.573,12.674,13.619,14.782,16.257,18.215,20.974,25.260,NULL,23.891,23.964,40.161,38.815,126.508,126.181,145.334,144.829,13.983,14.200,20.403,19.594
3494,19.309,22.133,25.664,30.200,36.144,44.207,55.549,19.701,22.334,25.605,29.764,35.183,42.474,52.674,117.109,123.385,129.662,135.937,142.214,148.490,154.766,116.868,123.085,129.302,135.519,141.735,147.953,154.169,12.249,13.317,14.651,16.376,18.712,22.100,27.577,12.675,13.619,14.782,16.259,18.216,20.976,25.265,NULL,23.898,23.969,40.176,38.829,126.523,126.194,145.351,144.844,13.984,14.201,20.406,19.596
