edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
0,2.033,2.395,2.794,3.232,3.711,4.230,4.793,2.080,2.459,2.881,3.346,3.859,4.419,5.031,43.560,45.422,47.285,49.148,51.010,52.873,54.736,44.205,46.098,47.991,49.884,51.777,53.670,55.564,10.122,11.091,12.159,13.336,14.636,16.071,17.657,10.184,11.133,12.201,13.407,14.773,16.326,18.100,Nacimiento,2.595,2.670,3.970,4.139,46.353,47.044,51.941,52.724,11.625,11.667,15.354,15.550
1,1.994,2.352,2.752,3.196,3.685,4.222,4.810,2.065,2.437,2.854,3.317,3.830,4.394,5.013,43.720,45.585,47.451,49.317,51.182,53.048,54.914,44.376,46.271,48.165,50.060,51.955,53.850,55.744,10.043,11.038,12.127,13.318,14.623,16.050,17.611,10.121,11.095,12.182,13.398,14.760,16.290,18.012,NULL,2.552,2.646,3.954,4.112,46.518,47.218,52.115,52.903,11.582,11.639,15.336,15.525
2,2.002,2.362,2.764,3.210,3.704,4.249,4.846,2.080,2.454,2.872,3.337,3.852,4.421,5.045,43.880,45.748,47.617,49.485,51.354,53.223,55.091,44.547,46.443,48.339,50.236,52.132,54.029,55.925,9.962,10.983,12.094,13.301,14.610,16.029,17.566,10.056,11.056,12.162,13.388,14.747,16.254,17.927,NULL,2.563,2.663,3.977,4.136,46.682,47.391,52.288,53.081,11.539,11.609,15.319,15.501
3,2.017,2.378,2.782,3.232,3.730,4.280,4.885,2.100,2.475,2.895,3.363,3.881,4.453,5.083,44.038,45.910,47.782,49.654,51.526,53.398,55.270,44.719,46.617,48.514,50.412,52.309,54.207,56.104,9.879,10.928,12.062,13.283,14.596,16.007,17.520,9.988,11.015,12.143,13.379,14.734,16.219,17.845,NULL,2.580,2.685,4.005,4.167,46.846,47.566,52.462,53.258,11.495,11.579,15.302,15.476
4,2.034,2.397,2.803,3.256,3.758,4.314,4.925,2.122,2.499,2.921,3.392,3.913,4.490,5.124,44.199,46.074,47.948,49.823,51.698,53.573,55.448,44.890,46.789,48.689,50.588,52.487,54.386,56.285,9.792,10.872,12.029,13.265,14.583,15.985,17.474,9.918,10.974,12.123,13.370,14.721,16.185,17.767,NULL,2.600,2.710,4.036,4.202,47.011,47.739,52.636,53.437,11.450,11.549,15.284,15.453
5,2.053,2.418,2.826,3.282,3.789,4.349,4.967,2.146,2.525,2.949,3.422,3.947,4.528,5.167,44.359,46.237,48.114,49.992,51.870,53.748,55.625,45.062,46.962,48.863,50.764,52.664,54.565,56.465,9.702,10.815,11.996,13.247,14.569,15.963,17.429,9.844,10.932,12.103,13.361,14.709,16.151,17.691,NULL,2.622,2.737,4.069,4.237,47.175,47.913,52.809,53.614,11.405,11.518,15.266,15.430
6,2.074,2.440,2.851,3.310,3.820,4.386,5.009,2.170,2.551,2.978,3.454,3.983,4.568,5.211,44.519,46.400,48.280,50.161,52.041,53.922,55.802,45.233,47.135,49.037,50.939,52.841,54.743,56.646,9.609,10.756,11.963,13.229,14.555,15.940,17.384,9.768,10.889,12.083,13.351,14.696,16.118,17.618,NULL,2.646,2.764,4.103,4.276,47.340,48.086,52.981,53.792,11.360,11.486,15.248,15.407
7,2.096,2.464,2.877,3.339,3.853,4.423,5.052,2.195,2.579,3.009,3.488,4.020,4.609,5.257,44.680,46.563,48.446,50.330,52.213,54.096,55.980,45.406,47.309,49.212,51.115,53.018,54.921,56.824,9.513,10.696,11.929,13.211,14.541,15.917,17.339,9.688,10.844,12.062,13.342,14.683,16.085,17.547,NULL,2.671,2.794,4.138,4.314,47.505,48.261,53.154,53.969,11.312,11.453,15.229,15.384
8,2.118,2.488,2.904,3.369,3.887,4.461,5.096,2.221,2.607,3.040,3.522,4.058,4.650,5.303,44.840,46.726,48.613,50.499,52.385,54.271,56.157,45.578,47.482,49.387,51.291,53.195,55.100,57.004,9.554,10.733,11.964,13.246,14.577,15.957,17.385,9.744,10.895,12.108,13.384,14.723,16.125,17.588,NULL,2.696,2.824,4.174,4.354,47.669,48.434,53.328,54.148,11.348,11.502,15.267,15.424
9,2.141,2.513,2.932,3.400,3.921,4.500,5.140,2.248,2.637,3.072,3.558,4.097,4.693,5.351,45.001,46.890,48.779,50.668,52.556,54.445,56.334,45.749,47.655,49.561,51.467,53.373,55.279,57.184,9.596,10.770,11.998,13.280,14.613,15.997,17.431,9.801,10.946,12.154,13.426,14.763,16.164,17.629,NULL,2.723,2.854,4.210,4.395,47.834,48.608,53.501,54.326,11.384,11.550,15.305,15.463
10,2.165,2.540,2.960,3.431,3.957,4.540,5.186,2.276,2.667,3.105,3.594,4.137,4.738,5.400,45.160,47.052,48.944,50.836,52.729,54.621,56.513,45.921,47.828,49.736,51.643,53.550,55.457,57.364,9.637,10.807,12.033,13.314,14.649,16.037,17.477,9.858,10.996,12.200,13.469,14.803,16.203,17.670,NULL,2.750,2.886,4.248,4.438,47.998,48.782,53.675,54.504,11.420,11.598,15.343,15.503
11,2.190,2.567,2.990,3.464,3.993,4.581,5.232,2.304,2.698,3.140,3.632,4.179,4.784,5.451,45.321,47.216,49.110,51.005,52.900,54.795,56.690,46.095,48.003,49.911,51.819,53.727,55.635,57.542,9.678,10.844,12.067,13.348,14.684,16.077,17.524,9.914,11.047,12.246,13.511,14.843,16.243,17.710,NULL,2.779,2.919,4.287,4.481,48.163,48.957,53.847,54.681,11.456,11.646,15.380,15.543
12,2.216,2.595,3.021,3.498,4.031,4.623,5.280,2.333,2.730,3.175,3.671,4.222,4.831,5.503,45.482,47.379,49.277,51.174,53.072,54.969,56.867,46.267,48.176,50.085,51.994,53.904,55.813,57.722,9.720,10.881,12.102,13.382,14.720,16.116,17.570,9.971,11.098,12.292,13.553,14.883,16.282,17.750,NULL,2.808,2.953,4.327,4.527,48.328,49.130,54.020,54.858,11.492,11.695,15.418,15.582
13,2.242,2.623,3.052,3.533,4.070,4.667,5.329,2.363,2.764,3.212,3.711,4.266,4.880,5.558,45.642,47.543,49.443,51.343,53.243,55.144,57.044,46.439,48.349,50.260,52.170,54.081,55.991,57.902,9.761,10.918,12.137,13.416,14.756,16.156,17.617,10.027,11.149,12.338,13.595,14.923,16.321,17.790,NULL,2.837,2.988,4.369,4.573,48.493,49.304,54.194,55.036,11.527,11.743,15.456,15.622
14,2.269,2.653,3.085,3.569,4.110,4.712,5.379,2.395,2.798,3.249,3.753,4.312,4.931,5.613,45.803,47.706,49.609,51.512,53.415,55.318,57.221,46.611,48.523,50.434,52.346,54.258,56.169,58.081,9.802,10.955,12.171,13.450,14.792,16.196,17.663,10.084,11.200,12.384,13.638,14.963,16.360,17.830,NULL,2.869,3.023,4.411,4.622,48.657,49.478,54.367,55.214,11.563,11.792,15.494,15.662
15,2.297,2.683,3.118,3.606,4.151,4.758,5.431,2.426,2.833,3.288,3.796,4.359,4.983,5.671,45.933,47.839,49.745,51.651,53.557,55.463,57.369,46.757,48.671,50.584,52.498,54.411,56.325,58.238,9.863,11.017,12.235,13.517,14.864,16.276,17.752,10.162,11.277,12.462,13.717,15.045,16.447,17.923,NULL,2.901,3.061,4.455,4.671,48.792,49.627,54.510,55.368,11.626,11.870,15.570,15.746
16,2.325,2.714,3.152,3.644,4.193,4.804,5.483,2.459,2.869,3.327,3.839,4.407,5.035,5.729,46.061,47.971,49.880,51.790,53.699,55.608,57.518,46.901,48.817,50.733,52.649,54.565,56.481,58.396,9.927,11.081,12.301,13.587,14.940,16.359,17.845,10.241,11.357,12.543,13.801,15.132,16.539,18.021,NULL,2.933,3.098,4.498,4.721,48.925,49.775,54.654,55.523,11.691,11.950,15.649,15.835
17,2.353,2.745,3.187,3.682,4.235,4.852,5.536,2.491,2.905,3.367,3.883,4.455,5.089,5.787,46.190,48.102,50.015,51.927,53.840,55.752,57.665,47.044,48.963,50.881,52.799,54.717,56.635,58.554,9.990,11.146,12.369,13.660,15.018,16.445,17.941,10.321,11.437,12.625,13.885,15.221,16.633,18.123,NULL,2.966,3.136,4.543,4.772,49.059,49.922,54.796,55.676,11.758,12.031,15.732,15.927
18,2.382,2.777,3.221,3.720,4.278,4.899,5.589,2.524,2.941,3.407,3.927,4.504,5.143,5.847,46.316,48.232,50.148,52.064,53.980,55.896,57.812,47.187,49.107,51.028,52.948,54.869,56.789,58.710,10.054,11.212,12.437,13.732,15.097,16.532,18.038,10.400,11.517,12.707,13.971,15.310,16.728,18.225,NULL,2.999,3.174,4.588,4.824,49.190,50.068,54.938,55.829,11.825,12.112,15.815,16.019
19,2.410,2.808,3.256,3.758,4.320,4.946,5.642,2.557,2.977,3.448,3.971,4.553,5.196,5.906,46.444,48.362,50.281,52.200,54.119,56.038,57.957,47.329,49.251,51.174,53.097,55.019,56.942,58.865,10.118,11.277,12.506,13.806,15.177,16.620,18.135,10.479,11.597,12.789,14.056,15.400,16.823,18.327,NULL,3.032,3.212,4.633,4.875,49.322,50.212,55.078,55.980,11.892,12.193,15.899,16.111
20,2.439,2.840,3.291,3.797,4.363,4.994,5.695,2.590,3.014,3.488,4.016,4.602,5.250,5.965,46.568,48.491,50.413,52.335,54.258,56.180,58.102,47.470,49.395,51.319,53.244,55.169,57.094,59.018,10.181,11.342,12.574,13.878,15.256,16.707,18.232,10.556,11.676,12.870,14.140,15.489,16.918,18.429,NULL,3.066,3.251,4.678,4.926,49.452,50.357,55.219,56.132,11.958,12.273,15.982,16.203
21,2.468,2.871,3.325,3.835,4.406,5.042,5.749,2.624,3.051,3.528,4.060,4.651,5.304,6.024,46.694,48.619,50.544,52.470,54.395,56.320,58.245,47.610,49.537,51.464,53.390,55.317,57.244,59.171,10.243,11.406,12.642,13.950,15.334,16.792,18.328,10.632,11.754,12.951,14.224,15.577,17.012,18.530,NULL,3.098,3.289,4.724,4.978,49.581,50.501,55.358,56.281,12.024,12.352,16.063,16.294
22,2.496,2.903,3.360,3.874,4.448,5.089,5.802,2.657,3.087,3.569,4.105,4.700,5.358,6.083,46.817,48.746,50.674,52.603,54.531,56.460,58.388,47.749,49.678,51.607,53.536,55.465,57.394,59.323,10.305,11.470,12.708,14.022,15.411,16.877,18.422,10.707,11.831,13.030,14.306,15.664,17.104,18.630,NULL,3.131,3.328,4.769,5.029,49.710,50.642,55.495,56.429,12.089,12.431,16.144,16.384
23,2.525,2.934,3.395,3.912,4.490,5.136,5.854,2.690,3.124,3.609,4.149,4.748,5.411,6.142,46.940,48.872,50.803,52.735,54.667,56.598,58.530,47.888,49.819,51.750,53.680,55.611,57.542,59.473,10.365,11.532,12.774,14.092,15.487,16.961,18.515,10.781,11.906,13.107,14.388,15.750,17.196,18.729,NULL,3.164,3.366,4.813,5.080,49.837,50.785,55.633,56.577,12.153,12.507,16.224,16.473
24,2.553,2.965,3.429,3.950,4.532,5.183,5.906,2.723,3.160,3.649,4.193,4.797,5.464,6.200,47.061,48.996,50.931,52.866,54.801,56.736,58.671,48.024,49.957,51.891,53.824,55.757,57.691,59.624,10.423,11.593,12.838,14.160,15.561,17.043,18.607,10.853,11.980,13.184,14.468,15.834,17.286,18.825,NULL,3.197,3.405,4.857,5.130,49.964,50.924,55.769,56.724,12.216,12.582,16.302,16.560
25,2.582,2.996,3.463,3.987,4.574,5.229,5.958,2.756,3.197,3.689,4.237,4.845,5.517,6.259,47.184,49.121,51.059,52.996,54.934,56.871,58.809,48.161,50.096,52.031,53.966,55.902,57.837,59.772,10.481,11.653,12.901,14.228,15.635,17.123,18.696,10.923,12.052,13.258,14.546,15.917,17.374,18.921,NULL,3.229,3.443,4.902,5.181,50.090,51.063,55.903,56.870,12.277,12.655,16.379,16.645
26,2.610,3.027,3.497,4.025,4.616,5.275,6.010,2.789,3.233,3.729,4.281,4.893,5.570,6.316,47.303,49.244,51.185,53.126,55.066,57.007,58.948,48.295,50.233,52.170,54.108,56.046,57.983,59.921,10.538,11.711,12.963,14.294,15.706,17.202,18.783,10.992,12.123,13.332,14.622,15.998,17.461,19.014,NULL,3.262,3.481,4.946,5.231,50.215,51.202,56.036,57.014,12.337,12.727,16.454,16.730
27,2.638,3.058,3.531,4.062,4.657,5.321,6.061,2.822,3.269,3.768,4.324,4.940,5.622,6.373,47.422,49.366,51.310,53.254,55.197,57.141,59.085,48.430,50.370,52.309,54.248,56.188,58.127,60.067,10.593,11.768,13.023,14.358,15.776,17.279,18.869,11.060,12.192,13.404,14.698,16.077,17.546,19.106,NULL,3.295,3.518,4.989,5.281,50.338,51.340,56.169,57.157,12.396,12.798,16.527,16.811
28,2.665,3.088,3.564,4.099,4.698,5.366,6.112,2.854,3.305,3.807,4.367,4.988,5.674,6.430,47.540,49.487,51.434,53.381,55.328,57.275,59.221,48.563,50.505,52.446,54.388,56.330,58.271,60.213,10.646,11.824,13.081,14.421,15.844,17.354,18.953,11.126,12.260,13.474,14.771,16.155,17.629,19.196,NULL,3.326,3.556,5.032,5.331,50.461,51.475,56.301,57.300,12.453,12.867,16.599,16.892
29,2.693,3.118,3.597,4.135,4.738,5.411,6.162,2.887,3.340,3.847,4.410,5.035,5.725,6.487,47.658,49.608,51.557,53.507,55.457,57.407,59.357,48.695,50.639,52.583,54.527,56.471,58.415,60.358,10.699,11.879,13.139,14.482,15.911,17.428,19.034,11.190,12.326,13.543,14.844,16.232,17.711,19.284,NULL,3.357,3.594,5.074,5.380,50.583,51.611,56.432,57.443,12.509,12.934,16.669,16.971
30,2.720,3.148,3.630,4.172,4.778,5.456,6.212,2.919,3.376,3.885,4.452,5.081,5.776,6.542,47.774,49.727,51.680,53.633,55.585,57.538,59.491,48.828,50.773,52.719,54.664,56.610,58.556,60.501,10.750,11.932,13.195,14.542,15.976,17.499,19.114,11.253,12.391,13.610,14.914,16.306,17.791,19.371,NULL,3.389,3.631,5.117,5.428,50.703,51.746,56.562,57.583,12.563,13.001,16.738,17.049
31,2.747,3.178,3.663,4.208,4.818,5.500,6.261,2.951,3.411,3.924,4.495,5.127,5.827,6.597,47.890,49.846,51.801,53.757,55.713,57.668,59.624,48.958,50.906,52.854,54.801,56.749,58.696,60.644,10.800,11.983,13.249,14.600,16.039,17.568,19.191,11.315,12.454,13.675,14.982,16.378,17.868,19.454,1,3.421,3.667,5.159,5.477,50.824,51.880,56.691,57.722,12.616,13.065,16.803,17.123
32,2.774,3.207,3.695,4.243,4.857,5.544,6.310,2.982,3.445,3.962,4.536,5.173,5.877,6.652,48.003,49.962,51.922,53.881,55.840,57.799,59.758,49.088,51.037,52.987,54.937,56.887,58.836,60.786,10.848,12.033,13.302,14.657,16.100,17.636,19.266,11.374,12.515,13.739,15.048,16.449,17.943,19.535,NULL,3.451,3.704,5.200,5.525,50.942,52.012,56.819,57.861,12.668,13.127,16.868,17.196
33,2.801,3.236,3.727,4.278,4.896,5.587,6.358,3.014,3.480,4.000,4.578,5.218,5.926,6.706,48.117,50.079,52.041,54.003,55.965,57.927,59.889,49.216,51.168,53.120,55.071,57.023,58.975,60.927,10.895,12.082,13.353,14.711,16.159,17.701,19.338,11.431,12.574,13.800,15.113,16.517,18.016,19.614,NULL,3.482,3.740,5.242,5.572,51.060,52.144,56.946,57.999,12.717,13.187,16.930,17.267
34,2.827,3.265,3.758,4.313,4.935,5.630,6.406,3.045,3.514,4.037,4.618,5.263,5.975,6.759,48.231,50.195,52.160,54.125,56.089,58.054,60.019,49.344,51.297,53.251,55.205,57.159,59.112,61.066,10.941,12.129,13.403,14.764,16.217,17.764,19.409,11.487,12.631,13.859,15.175,16.583,18.086,19.690,NULL,3.511,3.776,5.282,5.619,51.178,52.274,57.072,58.136,12.766,13.245,16.991,17.334
35,2.853,3.294,3.790,4.348,4.973,5.672,6.453,3.076,3.548,4.074,4.659,5.307,6.023,6.812,48.343,50.310,52.278,54.245,56.213,58.180,60.148,49.471,51.426,53.382,55.337,57.293,59.249,61.204,10.985,12.175,13.451,14.816,16.273,17.826,19.477,11.542,12.687,13.917,15.236,16.647,18.155,19.764,NULL,3.542,3.811,5.322,5.665,51.294,52.404,57.197,58.271,12.813,13.302,17.049,17.401
36,2.879,3.322,3.821,4.382,5.011,5.714,6.500,3.107,3.581,4.111,4.699,5.351,6.071,6.864,48.453,50.424,52.394,54.365,56.336,58.307,60.277,49.596,51.554,53.511,55.469,57.426,59.384,61.341,11.028,12.220,13.498,14.866,16.327,17.885,19.544,11.594,12.741,13.973,15.294,16.709,18.221,19.836,NULL,3.571,3.846,5.362,5.711,51.409,52.532,57.322,58.405,12.859,13.357,17.106,17.465
37,2.904,3.350,3.851,4.416,5.048,5.756,6.546,3.137,3.615,4.147,4.739,5.394,6.118,6.915,48.564,50.537,52.510,54.484,56.457,58.431,60.404,49.721,51.681,53.640,55.599,57.559,59.518,61.477,11.070,12.263,13.543,14.914,16.380,17.943,19.609,11.646,12.794,14.028,15.351,16.769,18.286,19.906,NULL,3.600,3.881,5.402,5.756,51.523,52.660,57.444,58.538,12.903,13.411,17.162,17.527
38,2.930,3.377,3.882,4.449,5.085,5.797,6.592,3.167,3.648,4.183,4.778,5.437,6.164,6.965,48.674,50.650,52.626,54.602,56.578,58.554,60.530,49.844,51.805,53.767,55.728,57.690,59.652,61.613,11.111,12.305,13.587,14.961,16.431,18.000,19.672,11.695,12.845,14.080,15.406,16.827,18.348,19.974,NULL,3.630,3.916,5.441,5.801,51.638,52.786,57.566,58.671,12.946,13.463,17.215,17.587
39,2.955,3.405,3.912,4.482,5.122,5.837,6.637,3.197,3.680,4.219,4.817,5.479,6.210,7.016,48.781,50.760,52.740,54.719,56.698,58.677,60.656,49.967,51.930,53.893,55.857,57.820,59.784,61.747,11.150,12.346,13.630,15.007,16.481,18.054,19.733,11.743,12.894,14.131,15.460,16.884,18.409,20.039,NULL,3.659,3.950,5.479,5.845,51.750,52.911,57.688,58.802,12.988,13.512,17.267,17.646
40,2.980,3.432,3.942,4.515,5.158,5.878,6.682,3.227,3.712,4.254,4.855,5.521,6.256,7.065,48.890,50.871,52.853,54.835,56.817,58.798,60.780,50.089,52.054,54.019,55.984,57.949,59.914,61.879,11.189,12.386,13.672,15.052,16.529,18.108,19.792,11.790,12.942,14.181,15.512,16.939,18.467,20.103,NULL,3.687,3.983,5.518,5.888,51.862,53.036,57.807,58.931,13.029,13.562,17.319,17.703
41,3.004,3.459,3.971,4.547,5.194,5.917,6.726,3.256,3.744,4.289,4.893,5.562,6.300,7.114,48.996,50.980,52.965,54.950,56.935,58.919,60.904,50.209,52.176,54.143,56.110,58.078,60.045,62.012,11.227,12.425,13.713,15.096,16.576,18.160,19.850,11.836,12.989,14.229,15.562,16.992,18.524,20.164,NULL,3.715,4.016,5.556,5.931,51.972,53.160,57.927,59.062,13.069,13.609,17.368,17.758
42,3.029,3.485,4.000,4.579,5.229,5.957,6.770,3.285,3.776,4.323,4.930,5.603,6.345,7.162,49.102,51.090,53.077,55.064,57.051,59.039,61.026,50.329,52.298,54.267,56.236,58.205,60.173,62.142,11.264,12.463,13.753,15.138,16.622,18.210,19.906,11.880,13.034,14.276,15.611,17.044,18.580,20.224,NULL,3.743,4.050,5.593,5.974,52.084,53.282,58.045,59.189,13.108,13.655,17.416,17.812
43,3.053,3.512,4.029,4.611,5.264,5.995,6.813,3.314,3.807,4.357,4.967,5.643,6.388,7.209,49.207,51.197,53.187,55.178,57.168,59.158,61.148,50.449,52.419,54.390,56.360,58.330,60.301,62.271,11.300,12.500,13.792,15.179,16.667,18.260,19.962,11.923,13.078,14.321,15.658,17.094,18.633,20.283,NULL,3.771,4.082,5.630,6.016,52.192,53.404,58.163,59.316,13.146,13.700,17.463,17.863
44,3.077,3.538,4.058,4.642,5.299,6.034,6.856,3.342,3.838,4.391,5.004,5.683,6.432,7.256,49.312,51.305,53.298,55.290,57.283,59.276,61.268,50.566,52.539,54.511,56.483,58.456,60.428,62.400,11.335,12.536,13.830,15.220,16.711,18.308,20.016,11.965,13.121,14.366,15.704,17.142,18.685,20.339,NULL,3.798,4.114,5.667,6.058,52.301,53.525,58.279,59.442,13.183,13.743,17.509,17.913
45,3.100,3.564,4.086,4.674,5.333,6.072,6.898,3.370,3.869,4.424,5.040,5.722,6.475,7.303,49.415,51.411,53.407,55.402,57.398,59.393,61.389,50.682,52.657,54.631,56.606,58.580,60.554,62.529,11.369,12.572,13.867,15.259,16.754,18.355,20.068,12.006,13.163,14.409,15.749,17.190,18.736,20.394,NULL,3.825,4.146,5.702,6.098,52.409,53.644,58.395,59.567,13.220,13.786,17.555,17.963
46,3.124,3.589,4.114,4.704,5.367,6.110,6.941,3.398,3.900,4.457,5.076,5.761,6.517,7.349,49.518,51.516,53.515,55.513,57.511,59.510,61.508,50.800,52.775,54.751,56.727,58.703,60.678,62.654,11.403,12.606,13.903,15.297,16.795,18.400,20.119,12.046,13.203,14.450,15.793,17.236,18.786,20.448,NULL,3.852,4.178,5.739,6.139,52.516,53.763,58.511,59.691,13.255,13.826,17.598,18.011
47,3.147,3.614,4.142,4.735,5.401,6.147,6.982,3.426,3.930,4.490,5.112,5.800,6.558,7.394,49.621,51.621,53.622,55.623,57.624,59.625,61.625,50.914,52.892,54.869,56.847,58.825,60.803,62.780,11.435,12.640,13.938,15.335,16.835,18.445,20.169,12.084,13.243,14.491,15.835,17.281,18.833,20.500,NULL,3.878,4.210,5.774,6.179,52.621,53.880,58.624,59.814,13.289,13.867,17.640,18.057
48,3.170,3.639,4.169,4.765,5.434,6.184,7.024,3.454,3.960,4.522,5.147,5.838,6.600,7.438,49.721,51.725,53.729,55.732,57.736,59.739,61.743,51.028,53.007,54.987,56.967,58.946,60.926,62.905,11.467,12.672,13.972,15.371,16.874,18.488,20.217,12.122,13.281,14.531,15.877,17.325,18.880,20.551,NULL,3.904,4.241,5.809,6.219,52.727,53.997,58.737,59.936,13.322,13.906,17.681,18.102
49,3.192,3.664,4.196,4.795,5.467,6.221,7.064,3.481,3.989,4.555,5.182,5.875,6.641,7.483,49.822,51.828,53.834,55.841,57.847,59.853,61.860,51.143,53.123,55.104,57.085,59.066,61.047,63.028,11.498,12.704,14.005,15.406,16.913,18.530,20.264,12.159,13.319,14.569,15.917,17.367,18.926,20.600,NULL,3.930,4.272,5.844,6.258,52.831,54.114,58.850,60.056,13.354,13.944,17.721,18.146
50,3.215,3.689,4.223,4.824,5.500,6.257,7.105,3.508,4.018,4.586,5.216,5.913,6.681,7.526,49.921,51.930,53.939,55.948,57.957,59.966,61.975,51.255,53.237,55.220,57.203,59.185,61.168,63.151,11.529,12.735,14.038,15.441,16.950,18.571,20.310,12.195,13.355,14.607,15.956,17.408,18.970,20.648,NULL,3.956,4.302,5.878,6.297,52.934,54.228,58.962,60.176,13.386,13.981,17.761,18.189
51,3.237,3.713,4.250,4.854,5.532,6.293,7.145,3.534,4.047,4.618,5.250,5.949,6.721,7.569,50.021,52.032,54.044,56.055,58.066,60.077,62.089,51.366,53.350,55.335,57.319,59.304,61.288,63.272,11.558,12.766,14.069,15.474,16.987,18.611,20.355,12.230,13.391,14.644,15.994,17.448,19.013,20.694,NULL,3.982,4.332,5.912,6.335,53.038,54.343,59.072,60.296,13.418,14.018,17.799,18.230
52,3.259,3.737,4.276,4.883,5.564,6.329,7.185,3.561,4.076,4.649,5.284,5.986,6.760,7.612,50.119,52.133,54.147,56.161,58.175,60.189,62.203,51.477,53.463,55.449,57.435,59.421,61.407,63.393,11.587,12.795,14.100,15.507,17.022,18.651,20.399,12.263,13.425,14.679,16.031,17.488,19.055,20.740,NULL,4.006,4.362,5.947,6.373,53.140,54.456,59.182,60.414,13.447,14.052,17.837,18.271
53,3.281,3.761,4.302,4.912,5.596,6.364,7.224,3.587,4.104,4.680,5.317,6.022,6.799,7.654,50.216,52.233,54.249,56.266,58.283,60.299,62.316,51.586,53.574,55.562,57.550,59.537,61.525,63.513,11.615,12.824,14.130,15.539,17.057,18.689,20.442,12.297,13.459,14.714,16.067,17.526,19.095,20.784,NULL,4.032,4.392,5.980,6.410,53.241,54.568,59.291,60.531,13.477,14.086,17.873,18.311
54,3.303,3.785,4.328,4.940,5.627,6.399,7.263,3.613,4.133,4.710,5.350,6.057,6.837,7.696,50.313,52.332,54.351,56.370,58.390,60.409,62.428,51.696,53.685,55.674,57.664,59.653,61.642,63.632,11.643,12.853,14.160,15.571,17.091,18.726,20.483,12.329,13.492,14.748,16.102,17.563,19.135,20.827,NULL,4.056,4.421,6.013,6.447,53.342,54.679,59.400,60.648,13.507,14.120,17.909,18.349
55,3.324,3.808,4.354,4.968,5.658,6.433,7.301,3.639,4.160,4.740,5.383,6.093,6.876,7.737,50.409,52.430,54.452,56.474,58.496,60.517,62.539,51.804,53.795,55.786,57.777,59.768,61.759,63.750,11.670,12.881,14.189,15.601,17.124,18.762,20.524,12.361,13.524,14.781,16.137,17.599,19.174,20.869,NULL,4.081,4.450,6.045,6.484,53.441,54.791,59.507,60.764,13.535,14.152,17.943,18.387
56,3.345,3.831,4.379,4.996,5.689,6.467,7.339,3.664,4.188,4.770,5.415,6.128,6.913,7.777,50.504,52.528,54.552,56.577,58.601,60.625,62.650,51.911,53.904,55.896,57.889,59.881,61.874,63.867,11.697,12.908,14.217,15.631,17.156,18.798,20.564,12.391,13.555,14.812,16.170,17.634,19.211,20.910,NULL,4.105,4.479,6.078,6.521,53.540,54.900,59.613,60.877,13.562,14.184,17.977,18.422
57,3.366,3.854,4.404,5.024,5.720,6.501,7.377,3.689,4.215,4.800,5.447,6.162,6.950,7.817,50.598,52.625,54.652,56.679,58.706,60.732,62.759,52.018,54.012,56.006,58.000,59.994,61.988,63.982,11.723,12.934,14.245,15.660,17.188,18.833,20.603,12.422,13.586,14.844,16.202,17.668,19.248,20.949,NULL,4.129,4.508,6.111,6.556,53.639,55.009,59.719,60.991,13.589,14.215,18.011,18.458
58,3.387,3.877,4.429,5.051,5.750,6.535,7.414,3.714,4.242,4.829,5.478,6.196,6.987,7.857,50.692,52.721,54.751,56.780,58.809,60.839,62.868,52.124,54.120,56.115,58.111,60.106,62.102,64.097,11.748,12.960,14.272,15.689,17.219,18.867,20.642,12.451,13.615,14.874,16.234,17.701,19.283,20.988,NULL,4.153,4.535,6.143,6.591,53.736,55.117,59.824,61.104,13.616,14.245,18.043,18.492
59,3.408,3.899,4.454,5.078,5.780,6.568,7.452,3.739,4.269,4.858,5.510,6.230,7.024,7.896,50.785,52.817,54.849,56.881,58.912,60.944,62.976,52.228,54.226,56.223,58.221,60.218,62.216,64.213,11.773,12.986,14.298,15.717,17.249,18.901,20.679,12.479,13.644,14.903,16.264,17.733,19.318,21.026,NULL,4.176,4.564,6.174,6.627,53.833,55.224,59.928,61.217,13.642,14.274,18.075,18.526
60,3.428,3.922,4.478,5.105,5.810,6.601,7.488,3.764,4.296,4.887,5.541,6.263,7.060,7.935,50.878,52.912,54.946,56.980,59.015,61.049,63.083,52.333,54.332,56.331,58.330,60.329,62.328,64.327,11.798,13.011,14.324,15.744,17.278,18.933,20.716,12.507,13.672,14.932,16.294,17.765,19.351,21.062,NULL,4.200,4.591,6.205,6.662,53.929,55.331,60.032,61.328,13.668,14.302,18.105,18.558
